task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
120	7a/47fb8a	16713	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00496_S83_L001)	COMPLETED	0	2020-06-23 14:56:32.561	11s	9.1s	93.1%	178.8 MB	1.1 GB	97.9 MB	96.7 MB
117	77/4f08b2	6134	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00444_S31_L001)	COMPLETED	0	2020-06-23 14:56:13.236	32.5s	30.8s	98.3%	347.3 MB	1 GB	391.4 MB	382.1 MB
122	43/1e2214	17699	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00494_S81_L001)	COMPLETED	0	2020-06-23 14:56:33.825	13.4s	11.4s	92.2%	172.4 MB	1 GB	132 MB	129.5 MB
119	c1/ef7f70	17356	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00479_S66_L001)	COMPLETED	0	2020-06-23 14:56:33.303	15.6s	14.2s	94.3%	235 MB	1.1 GB	172.8 MB	170 MB
116	83/24ce13	11410	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00448_S35_L001)	COMPLETED	0	2020-06-23 14:56:21.636	27.6s	25.9s	99.2%	278.4 MB	1 GB	317.6 MB	311.1 MB
114	d9/83ba81	10923	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00447_S34_L001)	COMPLETED	0	2020-06-23 14:56:21.102	32.3s	30.3s	101.0%	354.5 MB	1 GB	391 MB	380.6 MB
115	97/7ac1be	16491	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00420_S7_L001)	COMPLETED	0	2020-06-23 14:56:31.907	26.6s	25.4s	95.8%	267.1 MB	1 GB	294 MB	290.4 MB
123	97/ff11a9	17093	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00421_S8_L001)	COMPLETED	0	2020-06-23 14:56:32.941	26.2s	24.7s	98.4%	284.5 MB	1.1 GB	298 MB	293.9 MB
132	9c/ac3478	27213	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00470_S57_L001)	COMPLETED	0	2020-06-23 14:56:49.287	11.3s	9.6s	91.8%	174.7 MB	1.1 GB	89.2 MB	89.4 MB
127	7e/6d8312	18589	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00469_S56_L001)	COMPLETED	0	2020-06-23 14:56:34.623	26.4s	24.7s	94.9%	279.7 MB	1 GB	299.6 MB	292.9 MB
121	93/31a7bc	16617	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00483_S70_L001)	COMPLETED	0	2020-06-23 14:56:32.322	28.7s	27.4s	96.1%	284.3 MB	1 GB	341.1 MB	333.6 MB
125	b4/ad6a6f	23656	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00452_S39_L001)	COMPLETED	0	2020-06-23 14:56:43.668	19.7s	17.7s	93.6%	239.9 MB	1 GB	213.4 MB	208 MB
130	00/2458ab	20289	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00466_S53_L001)	COMPLETED	0	2020-06-23 14:56:37.755	26s	24s	98.4%	296.3 MB	1 GB	305.4 MB	298.6 MB
128	3e/bd252f	27079	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00415_S2_L001)	COMPLETED	0	2020-06-23 14:56:48.973	16.4s	14.7s	96.7%	222.4 MB	1 GB	183.5 MB	180 MB
133	52/2c8550	435	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00486_S73_L001)	COMPLETED	0	2020-06-23 14:56:59.165	8.8s	7.1s	94.7%	157.2 MB	1 GB	85.7 MB	83.8 MB
131	9a/2f859a	25678	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00472_S59_L001)	COMPLETED	0	2020-06-23 14:56:47.297	22.1s	20.6s	98.6%	267.8 MB	1.1 GB	257.1 MB	253.1 MB
129	9a/744d96	22365	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00477_S64_L001)	COMPLETED	0	2020-06-23 14:56:41.295	28.7s	26.9s	102.3%	276.6 MB	1 GB	346.8 MB	339.7 MB
124	7e/43abf3	29860	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00489_S76_L001)	COMPLETED	0	2020-06-23 14:56:53.477	23.6s	21.7s	97.9%	276.5 MB	1 GB	276.5 MB	271 MB
135	58/86c3e0	1897	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00491_S78_L001)	COMPLETED	0	2020-06-23 14:57:00.673	19s	17.4s	95.7%	236.3 MB	1.1 GB	216 MB	211.3 MB
137	11/8dd500	2261	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00445_S32_L001)	COMPLETED	0	2020-06-23 14:57:01.054	19.2s	17.8s	97.4%	239 MB	1 GB	224.1 MB	219.2 MB
126	41/c11ae4	24910	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00485_S72_L001)	COMPLETED	0	2020-06-23 14:56:46.001	35.2s	33.6s	101.9%	338.9 MB	1 GB	429.5 MB	421.5 MB
134	9e/ba354f	32526	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00462_S49_L001)	COMPLETED	0	2020-06-23 14:56:58.631	23.3s	21.8s	97.9%	286.1 MB	1 GB	275.5 MB	269.9 MB
138	c6/878aa1	3845	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00480_S67_L001)	COMPLETED	0	2020-06-23 14:57:03.788	19.9s	18.2s	94.7%	230.5 MB	1 GB	219.6 MB	215.3 MB
143	e2/1bd99e	7292	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00471_S58_L001)	COMPLETED	0	2020-06-23 14:57:09.407	16.7s	15.2s	92.1%	200.3 MB	1 GB	150 MB	149.3 MB
139	8a/9de606	5005	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00493_S80_L001)	COMPLETED	0	2020-06-23 14:57:05.405	24.1s	22.1s	97.0%	285.3 MB	1.1 GB	274.7 MB	268.7 MB
140	d1/27de6d	3680	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00474_S61_L001)	COMPLETED	0	2020-06-23 14:57:03.374	28.6s	27s	101.9%	295.6 MB	1 GB	351 MB	345.1 MB
147	85/598872	13354	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00454_S41_L001)	COMPLETED	0	2020-06-23 14:57:19.714	12.9s	11.4s	92.9%	171.3 MB	1 GB	134.2 MB	132 MB
144	77/57adc6	11813	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00495_S82_L001)	COMPLETED	0	2020-06-23 14:57:17.118	19.7s	17.3s	95.4%	238.4 MB	1.1 GB	211 MB	206.7 MB
146	5f/a10839	16349	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00497_S84_L001)	COMPLETED	0	2020-06-23 14:57:23.734	15s	12.9s	93.6%	197 MB	1 GB	156.3 MB	153.3 MB
141	cc/e0795d	7834	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00450_S37_L001)	COMPLETED	0	2020-06-23 14:57:10.104	30.7s	29.1s	97.2%	284 MB	1 GB	358.5 MB	349.6 MB
150	a0/4a7e21	13838	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00464_S51_L001)	COMPLETED	0	2020-06-23 14:57:20.274	21.5s	19.9s	95.6%	277 MB	1 GB	246.4 MB	241.6 MB
136	81/0c2697	2276	ncovIllumina:sequenceAnalysis:readMapping (NTC-20200604-run-12_S86_L001)	COMPLETED	0	2020-06-23 14:57:01.249	40.8s	39.6s	92.5%	266.9 MB	1 GB	237.5 MB	240.8 MB
142	a4/7b77a0	6679	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00475_S62_L001)	COMPLETED	0	2020-06-23 14:57:08.046	35.9s	33.9s	101.1%	350 MB	1.1 GB	439.5 MB	430.2 MB
148	1e/1e90f4	14992	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00460_S47_L001)	COMPLETED	0	2020-06-23 14:57:21.968	24.9s	23.4s	97.8%	300 MB	1.1 GB	291.2 MB	284.7 MB
149	44/6c4e4f	20885	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00488_S75_L001)	COMPLETED	0	2020-06-23 14:57:32.062	16.7s	15.1s	100.2%	214.2 MB	1 GB	193.5 MB	189.3 MB
151	78/ae3d99	17698	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00437_S24_L001)	COMPLETED	0	2020-06-23 14:57:26.221	25.2s	23.4s	95.3%	287.5 MB	1.1 GB	286.4 MB	280.8 MB
153	cb/76d25b	23385	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00423_S10_L001)	COMPLETED	0	2020-06-23 14:57:36.855	14.8s	12.8s	97.5%	198.9 MB	1 GB	161.1 MB	158.4 MB
145	aa/3199ef	14379	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00417_S4_L001)	COMPLETED	0	2020-06-23 14:57:21.254	30.7s	28.9s	99.4%	299.8 MB	1 GB	371.8 MB	363.3 MB
155	05/13e90e	24448	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00298_S90_L001)	COMPLETED	0	2020-06-23 14:57:38.757	13.6s	12.1s	99.4%	204.1 MB	1 GB	145.4 MB	143.2 MB
163	6f/77f6b4	29607	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00438_S25_L001)	COMPLETED	0	2020-06-23 14:57:46.952	9.4s	7.8s	96.3%	158.1 MB	1 GB	95.3 MB	93.7 MB
158	9b/059aa7	26343	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00455_S42_L001)	COMPLETED	0	2020-06-23 14:57:41.866	14.8s	13.2s	97.9%	224.4 MB	1.1 GB	166 MB	163.8 MB
161	e4/555574	25596	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00443_S30_L001)	COMPLETED	0	2020-06-23 14:57:40.853	25.1s	23.6s	97.7%	279.3 MB	1 GB	299.5 MB	292.6 MB
162	a1/1646eb	27893	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00427_S14_L001)	COMPLETED	0	2020-06-23 14:57:43.936	22.7s	20.9s	94.0%	259.1 MB	1 GB	248.7 MB	244.9 MB
156	84/8229d5	32556	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00430_S17_L001)	COMPLETED	0	2020-06-23 14:57:51.940	15.2s	14s	90.3%	203.4 MB	1 GB	157.2 MB	155.8 MB
154	1e/6db3b7	21134	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00425_S12_L001)	COMPLETED	0	2020-06-23 14:57:32.683	35.6s	34s	98.2%	347.6 MB	1 GB	426.4 MB	418.7 MB
167	62/36009b	3550	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00478_S65_L001)	COMPLETED	0	2020-06-23 14:57:56.368	14.9s	12.8s	85.3%	197.2 MB	1 GB	140.4 MB	137.8 MB
160	e0/e7d382	26433	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00426_S13_L001)	COMPLETED	0	2020-06-23 14:57:42.186	31s	29.5s	96.2%	289.4 MB	1 GB	358.2 MB	352.6 MB
152	6e/ea1e88	19501	ncovIllumina:sequenceAnalysis:readMapping (Undetermined_S0_L001)	COMPLETED	0	2020-06-23 14:57:29.579	47.5s	45.8s	98.7%	406.1 MB	1 GB	519.8 MB	513.5 MB
168	9f/00f6ec	8566	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00487_S74_L001)	COMPLETED	0	2020-06-23 14:58:06.020	11.1s	9.3s	91.8%	179.8 MB	1.1 GB	107.1 MB	105 MB
164	39/579c64	30825	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00418_S5_L001)	COMPLETED	0	2020-06-23 14:57:48.867	29.5s	27.3s	97.7%	277.4 MB	1 GB	337.4 MB	330.8 MB
169	e2/e0ff6b	3739	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00433_S20_L001)	COMPLETED	0	2020-06-23 14:57:56.730	22.9s	21.4s	96.9%	268.7 MB	1 GB	236.9 MB	235.2 MB
157	e0/8d50ad	32455	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00481_S68_L001)	COMPLETED	0	2020-06-23 14:57:51.694	30.4s	28.8s	96.2%	292.9 MB	1 GB	359.7 MB	352.5 MB
159	3b/f8f530	32333	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00498_S85_L001)	COMPLETED	0	2020-06-23 14:57:51.433	31.9s	30.4s	99.4%	338.5 MB	1.1 GB	334.3 MB	332.4 MB
166	2b/5f4516	9156	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00442_S29_L001)	COMPLETED	0	2020-06-23 14:58:07.154	17s	15.7s	99.7%	256.4 MB	1.1 GB	198.4 MB	195.9 MB
165	9e/f3d96d	484	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00424_S11_L001)	COMPLETED	0	2020-06-23 14:57:52.435	32.1s	30.8s	100.1%	355.7 MB	1 GB	368.5 MB	364.3 MB
170	34/e2599d	11777	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00439_S26_L001)	COMPLETED	0	2020-06-23 14:58:11.383	13.7s	11.7s	102.9%	218.2 MB	1.1 GB	157.2 MB	154.4 MB
171	57/8b67c5	8818	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00463_S50_L001)	COMPLETED	0	2020-06-23 14:58:06.669	20.8s	19.7s	100.4%	261.3 MB	1 GB	253.7 MB	249.9 MB
176	3b/1f8051	12698	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00429_S16_L001)	COMPLETED	0	2020-06-23 14:58:13.211	16.1s	14.5s	101.3%	218.1 MB	1.1 GB	182.1 MB	178.9 MB
173	5d/718438	10105	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00457_S44_L001)	COMPLETED	0	2020-06-23 14:58:08.392	21s	19.3s	103.2%	260.6 MB	1 GB	251.4 MB	247.2 MB
178	2f/8354d7	16477	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00414_S1_L001)	COMPLETED	0	2020-06-23 14:58:19.740	17.7s	15.3s	95.5%	208.9 MB	1 GB	188.6 MB	184.6 MB
175	ae/486801	14615	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00428_S15_L001)	COMPLETED	0	2020-06-23 14:58:17.087	22.5s	21.1s	97.7%	267.2 MB	1 GB	259.7 MB	255.4 MB
174	5a/7aca6e	15380	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00467_S54_L001)	COMPLETED	0	2020-06-23 14:58:18.382	21.3s	19.9s	97.8%	253 MB	1 GB	249.8 MB	244.3 MB
185	05/b19ffb	22907	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00422_S9_L001)	COMPLETED	0	2020-06-23 14:58:29.558	11.4s	9.8s	78.4%	91 MB	925.5 MB	67.5 MB	49 MB
177	91/e891c7	14769	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00461_S48_L001)	COMPLETED	0	2020-06-23 14:58:17.421	24.5s	23s	99.0%	302.8 MB	1.1 GB	286.9 MB	281.4 MB
172	6a/2393cc	18499	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00436_S23_L001)	COMPLETED	0	2020-06-23 14:58:23.391	20.5s	19.1s	94.5%	262.4 MB	1 GB	231.3 MB	228.6 MB
183	78/2dfd67	21583	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00451_S38_L001)	COMPLETED	0	2020-06-23 14:58:27.533	18.2s	16.2s	84.8%	164.2 MB	925.5 MB	122.3 MB	90.6 MB
182	f9/5301a4	19716	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00458_S45_L001)	COMPLETED	0	2020-06-23 14:58:25.080	22.2s	20.7s	97.0%	284.3 MB	1 GB	257.7 MB	254 MB
187	77/5a703d	28942	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00297_S89_L001)	COMPLETED	0	2020-06-23 14:58:39.624	11.6s	10.2s	86.5%	102.3 MB	925.5 MB	75.6 MB	55.8 MB
179	87/122f9b	17642	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00484_S71_L001)	COMPLETED	0	2020-06-23 14:58:22.113	29.2s	27.5s	97.8%	288.5 MB	1 GB	349.6 MB	342.4 MB
180	ed/708182	18991	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00449_S36_L001)	COMPLETED	0	2020-06-23 14:58:24.202	28.1s	26.7s	105.0%	278.2 MB	1 GB	359.6 MB	350.2 MB
195	60/881fdb	3092	ncovIllumina:sequenceAnalysis:trimPrimerSequences (Neg2-20200604-run-12_S88_L001)	COMPLETED	0	2020-06-23 14:58:51.486	1.4s	439ms	26.5%	1.6 MB	5.4 MB	441.3 KB	142.4 KB
184	d8/6b58e3	22731	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00416_S3_L001)	COMPLETED	0	2020-06-23 14:58:29.311	26.2s	24.6s	103.3%	299.7 MB	1 GB	318 MB	313.5 MB
189	2a/603e16	29877	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00482_S69_L001)	COMPLETED	0	2020-06-23 14:58:41.026	15.4s	14s	90.5%	143.7 MB	925.5 MB	113.7 MB	82.9 MB
181	05/a61294	19496	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00446_S33_L001)	COMPLETED	0	2020-06-23 14:58:24.757	33.9s	32.5s	104.1%	348.6 MB	1 GB	427.8 MB	418.6 MB
190	72/de069c	30426	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00441_S28_L001)	COMPLETED	0	2020-06-23 14:58:41.970	16.8s	15.7s	86.7%	159.1 MB	925.5 MB	116.5 MB	86.2 MB
197	7a/a37e9d	3933	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00431_S18_L001)	COMPLETED	0	2020-06-23 14:58:52.977	9.7s	8.8s	90.3%	91.2 MB	925.5 MB	72.6 MB	51.6 MB
196	09/10eae0	3542	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00440_S27_L001)	COMPLETED	0	2020-06-23 14:58:52.349	11.4s	10.5s	93.2%	114.4 MB	925.5 MB	84.8 MB	62.6 MB
192	57/b83185	32736	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00465_S52_L001)	COMPLETED	0	2020-06-23 14:58:45.895	18.2s	16.6s	91.4%	178 MB	933.5 MB	132.5 MB	95.7 MB
193	42/07f77b	952	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00435_S22_L001)	COMPLETED	0	2020-06-23 14:58:47.336	17.4s	16.3s	92.0%	173 MB	925.5 MB	133.3 MB	97.7 MB
186	b9/e5cdf9	27617	ncovIllumina:sequenceAnalysis:readMapping (PHLON20-SARS00432_S19_L001)	COMPLETED	0	2020-06-23 14:58:37.430	27.6s	25.6s	109.8%	272 MB	1 GB	315.8 MB	313.8 MB
191	da/5ec760	31792	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00419_S6_L001)	COMPLETED	0	2020-06-23 14:58:43.997	23.5s	22.1s	90.8%	235.1 MB	933.5 MB	173.6 MB	128.4 MB
188	6b/5e7dff	29006	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00468_S55_L001)	COMPLETED	0	2020-06-23 14:58:39.852	27.8s	26.7s	90.5%	285.4 MB	933.5 MB	210 MB	155.7 MB
206	62/bc6853	9546	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00496_S83_L001)	COMPLETED	0	2020-06-23 14:59:05.172	5.3s	4.6s	88.4%	10.3 MB	21.6 MB	40 MB	25.4 MB
198	ee/ead320	5000	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00490_S77_L001)	COMPLETED	0	2020-06-23 14:58:55.557	16.2s	15.3s	91.9%	164.7 MB	925.5 MB	125.1 MB	92.4 MB
199	b9/95655f	5660	ncovIllumina:sequenceAnalysis:trimPrimerSequences (Neg1-20200604-run-12_S87_L001)	COMPLETED	0	2020-06-23 14:58:56.483	15.8s	15s	90.8%	81.6 MB	921.5 MB	165.7 MB	84 MB
201	66/5a19c3	6599	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00459_S46_L001)	COMPLETED	0	2020-06-23 14:58:58.869	15.4s	14.5s	92.7%	154.5 MB	925.5 MB	120.3 MB	88.5 MB
200	f3/fea855	6477	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00456_S43_L001)	COMPLETED	0	2020-06-23 14:58:58.628	17.4s	16.4s	92.1%	148.4 MB	789.5 MB	145.1 MB	98.3 MB
208	e2/0b2608	10754	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00494_S81_L001)	COMPLETED	0	2020-06-23 14:59:07.811	8.9s	7.9s	89.8%	83.5 MB	921.5 MB	63.1 MB	45.6 MB
194	a9/92eb54	3008	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00453_S40_L001)	COMPLETED	0	2020-06-23 14:58:51.260	25.7s	24.6s	90.2%	262 MB	933.5 MB	199 MB	146.7 MB
214	13/7903be	15010	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00470_S57_L001)	COMPLETED	0	2020-06-23 14:59:16.855	2.9s	1.9s	84.7%	4.2 MB	15.7 MB	25.3 MB	9.5 MB
205	7e/c2fe2a	9524	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00434_S21_L001)	COMPLETED	0	2020-06-23 14:59:04.859	15.7s	14.8s	93.3%	157.6 MB	925.5 MB	127.3 MB	91 MB
209	6e/1a3ac9	11973	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00479_S66_L001)	COMPLETED	0	2020-06-23 14:59:10.552	11.9s	11s	91.2%	116.3 MB	925.5 MB	85 MB	62.8 MB
202	c2/e64aac	8256	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00473_S60_L001)	COMPLETED	0	2020-06-23 14:59:02.703	20.4s	19.5s	93.6%	210.9 MB	933.5 MB	164.5 MB	117.1 MB
203	88/e5f92c	8848	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00476_S63_L001)	COMPLETED	0	2020-06-23 14:59:03.750	22.9s	22s	93.0%	235.5 MB	933.5 MB	181.1 MB	131.8 MB
204	e7/a1579b	8918	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00492_S79_L001)	COMPLETED	0	2020-06-23 14:59:04.082	23.5s	22.6s	90.3%	244 MB	933.5 MB	179.4 MB	132.6 MB
210	ae/558adf	12689	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00448_S35_L001)	COMPLETED	0	2020-06-23 14:59:11.859	18.7s	17.9s	91.2%	25.2 MB	36.4 MB	145.6 MB	104 MB
212	b4/bc43ad	13941	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00420_S7_L001)	COMPLETED	0	2020-06-23 14:59:14.285	17.5s	16.5s	91.9%	174.1 MB	925.5 MB	137.1 MB	96.2 MB
207	3c/0e31ea	10486	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00444_S31_L001)	COMPLETED	0	2020-06-23 14:59:07.524	24.6s	23.4s	92.3%	61.9 MB	785.5 MB	188 MB	139.4 MB
213	37/91ca53	14688	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00421_S8_L001)	COMPLETED	0	2020-06-23 14:59:16.098	17.2s	16.1s	93.2%	175.2 MB	925.5 MB	136.4 MB	95.9 MB
220	a3/7087a7	19521	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00486_S73_L001)	COMPLETED	0	2020-06-23 14:59:26.729	7.1s	5.9s	84.4%	9.5 MB	20.7 MB	42.7 MB	31.5 MB
217	64/2ad71b	16940	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00452_S39_L001)	COMPLETED	0	2020-06-23 14:59:20.634	13.5s	12.5s	92.0%	137.1 MB	925.5 MB	102.8 MB	75.8 MB
219	a7/856013	18014	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00415_S2_L001)	COMPLETED	0	2020-06-23 14:59:23.178	12.3s	11.2s	92.9%	121.7 MB	925.5 MB	89.8 MB	66.2 MB
211	05/a76e66	12893	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00447_S34_L001)	COMPLETED	0	2020-06-23 14:59:12.312	23.5s	22.3s	93.5%	249.2 MB	933.5 MB	184.7 MB	136.2 MB
215	f1/893089	15377	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00469_S56_L001)	COMPLETED	0	2020-06-23 14:59:17.125	19.3s	17.8s	92.4%	25.7 MB	36.8 MB	144.2 MB	106.3 MB
216	cb/c1a0ce	16708	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00483_S70_L001)	COMPLETED	0	2020-06-23 14:59:19.874	21.6s	20.9s	92.8%	225 MB	933.5 MB	166.4 MB	123.8 MB
218	c3/6c4caa	17843	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00466_S53_L001)	COMPLETED	0	2020-06-23 14:59:22.539	19.6s	18.5s	91.7%	24.7 MB	36.1 MB	148.4 MB	109.8 MB
229	af/47744a	23825	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00471_S58_L001)	COMPLETED	0	2020-06-23 14:59:35.910	8.2s	6.9s	87.6%	10.5 MB	21.8 MB	62.5 MB	38.3 MB
221	59/3e4b1e	19889	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00472_S59_L001)	COMPLETED	0	2020-06-23 14:59:27.582	17.4s	16.4s	91.8%	167 MB	925.5 MB	130.2 MB	95.2 MB
224	c8/ef4317	21744	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00491_S78_L001)	COMPLETED	0	2020-06-23 14:59:32.140	14.8s	13.5s	90.5%	142.5 MB	925.5 MB	105.5 MB	78.3 MB
225	28/7984b3	22375	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00445_S32_L001)	COMPLETED	0	2020-06-23 14:59:33.461	15.1s	14.2s	89.5%	144 MB	925.5 MB	111.1 MB	82 MB
228	fd/a274ad	23689	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00480_S67_L001)	COMPLETED	0	2020-06-23 14:59:35.547	14.5s	13.7s	90.9%	143.6 MB	925.5 MB	108.2 MB	79.8 MB
223	31/8440fb	21595	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00489_S76_L001)	COMPLETED	0	2020-06-23 14:59:31.808	18.5s	17.3s	92.4%	25 MB	36.2 MB	135.8 MB	100.8 MB
232	84/ec1c1c	26460	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00454_S41_L001)	COMPLETED	0	2020-06-23 14:59:42.138	9.9s	8.6s	90.3%	88.6 MB	921.5 MB	68.8 MB	50.4 MB
227	87/dae103	22991	ncovIllumina:sequenceAnalysis:trimPrimerSequences (PHLON20-SARS00462_S49_L001)	COMPLETED	0	2020-06-23 14:59:34.162	18.1s	17s	93.8%	24.2 MB	35.6 MB	133.7 MB	99.1 MB
